PBS_expo	subreplicate	egg_num	fly_num	sort
4	1	50	43	no
4	2	50	46	no
4	3	50	46	no
4	4	50	38	no
4	5	50	41	no
6	1	50	41	no
6	2	50	37	no
6	3	50	37	no
6	4	50	44	no
6	5	50	43	no
6	6	50	43	no
6	7	50	45	no
6	8	50	40	no
6	9	50	48	no
6	10	50	45	no
6	11	50	44	no
6	12	50	38	no
6	13	50	43	no
6	14	50	47	no
8	1	50	37	no
8	3	50	37	no
8	5	50	41	no
6	1	50	38	yes
6	2	50	40	yes
6	3	50	36	yes
6	4	50	37	yes
6	5	50	34	yes
6	6	50	45	yes
6	7	50	30	yes
6	8	50	37	yes
6	9	50	37	yes
6	10	50	39	yes
6	11	50	37	yes
6	12	50	29	yes
6	13	50	41	yes
6	14	50	31	yes
6	15	50	29	yes
