vial_num	replicate	flies_1stcount	flies_2ndcount	flies_3rdcount	flies_4thcount	total_fly	treatment	egg_num
1	1	44	3	0	0	47	no_PBS	50
2	2	41	2	1	0	44	no_PBS	50
3	3	35	3	0	0	38	no_PBS	50
4	4	39	2	0	0	41	no_PBS	50
5	5	34	8	0	0	42	no_PBS	50
6	1	34	7	0	1	42	PBS_20min	50
7	2	22	9	1	0	32	PBS_20min	50
8	3	37	18	0	0	55	PBS_20min	50
9	4	29	14	0	0	43	PBS_20min	50
10	5	26	20	0	0	46	PBS_20min	50
11	1	32	7	1	0	40	PBS3:45_sort	50
12	2	31	15	0	0	46	PBS3:45_sort	50
13	3	34	9	0	0	43	PBS3:45_sort	50
14	4	27	11	0	0	38	PBS3:45_sort	50
15	5	26	12	0	1	39	PBS3:45_sort	50
16	6	32	13	0	0	45	PBS3:45_sort	50
17	7	6	41	0	0	47	PBS3:45_sort	50
18	1	33	6	0	0	39	PBS_3:45	50
19	2	33	16	0	0	49	PBS_3:45	50
20	3	36	1	0	0	37	PBS_3:45	50
21	4	41	3	0	0	44	PBS_3:45	50
22	5	38	9	0	0	47	PBS_3:45	50
