Row,Column,plate,TOF,Size,Length
A,5.0,1,2480.0,500.2514612073836,494.017
A,6.0,1,2384.0,484.09138067405576,489.845
A,9.0,1,2368.0,481.39803391850114,485.751
B,3.0,1,2400.0,486.7847274296104,494.73
B,7.0,1,2488.0,501.59813458516095,505.989
B,9.0,1,2440.0,493.518094318497,505.522
B,10.0,1,2480.0,500.2514612073836,490.555
B,11.0,1,2456.0,496.21144107405166,512.939
C,7.0,1,2392.0,485.4380540518331,485.382
D,1.0,1,2248.0,461.1979332518413,464.501
D,9.0,1,2408.0,488.1314008073877,487.453
E,1.0,1,2504.0,504.29148134071556,511.938
E,2.0,1,2408.0,488.1314008073877,477.204
E,4.0,1,2368.0,481.39803391850114,478.938
E,5.0,1,2312.0,471.97132027405985,480.203
F,2.0,1,2416.0,489.47807418516504,491.279
F,3.0,1,2448.0,494.8647676962743,504.852
G,2.0,1,2472.0,498.9047878296063,497.381
G,11.0,1,2488.0,501.59813458516095,510.221
G,12.0,1,2344.0,477.35801378516913,478.539
H,1.0,1,2408.0,488.1314008073877,499.844
H,3.0,1,2464.0,497.558114451829,488.375
H,6.0,1,2448.0,494.8647676962743,506.323
H,8.0,1,2392.0,485.4380540518331,476.358
H,10.0,1,2464.0,497.558114451829,517.221
A,1.0,2,2600.0,520.4515618740435,518.245
A,3.0,2,2520.0,506.98482809627023,515.968
A,4.0,2,2656.0,529.8782755184847,522.363
A,5.0,2,2576.0,516.4115417407114,502.278
A,8.0,2,2568.0,515.0648683629341,523.192
A,9.0,2,2632.0,525.8382553851527,515.821
B,1.0,2,2536.0,509.67817485182485,500.411
B,6.0,2,2568.0,515.0648683629341,496.841
B,7.0,2,2584.0,517.7582151184888,498.696
B,8.0,2,2768.0,548.7317028073671,533.536
B,11.0,2,2512.0,505.6381547184929,499.891
B,12.0,2,2608.0,521.7982352518208,525.486
C,1.0,2,2576.0,516.4115417407114,526.267
C,2.0,2,2744.0,544.6916826740352,530.892
C,3.0,2,2760.0,547.3850294295898,531.833
C,4.0,2,2512.0,505.6381547184929,501.849
C,5.0,2,2520.0,506.98482809627023,497.37
C,6.0,2,2560.0,513.7181949851569,503.52
C,8.0,2,2592.0,519.1048884962661,502.899
D,2.0,2,2696.0,536.6116424073713,521.932
D,9.0,2,2608.0,521.7982352518208,511.257
D,11.0,2,2624.0,524.4915820073754,521.698
E,2.0,2,2696.0,536.6116424073713,524.413
E,4.0,2,2528.0,508.33150147404757,495.104
E,10.0,2,2688.0,535.264969029594,518.895
E,12.0,2,2560.0,513.7181949851569,507.812
F,2.0,2,2792.0,552.7717229406992,538.856
F,3.0,2,2512.0,505.6381547184929,515.873
F,6.0,2,2752.0,546.0383560518126,546.996
F,7.0,2,2544.0,511.0248482296022,513.396
F,8.0,2,2632.0,525.8382553851527,517.282
F,9.0,2,2624.0,524.4915820073754,519.632
G,6.0,2,2616.0,523.144908629598,507.355
G,8.0,2,2600.0,520.4515618740435,515.149
G,9.0,2,2608.0,521.7982352518208,523.553
G,10.0,2,2576.0,516.4115417407114,505.737
H,1.0,2,2568.0,515.0648683629341,498.321
H,3.0,2,2528.0,508.33150147404757,521.782
H,9.0,2,2504.0,504.29148134071556,509.184
H,10.0,2,2544.0,511.0248482296022,502.214
A,4.0,3,2864.0,564.891783340695,547.67
A,10.0,3,2760.0,547.3850294295898,530.042
B,12.0,3,2704.0,537.9583157851486,522.79
C,1.0,3,2672.0,532.5716222740393,514.301
F,3.0,3,2672.0,532.5716222740393,514.951
F,7.0,3,2688.0,535.264969029594,515.41
F,8.0,3,2800.0,554.1183963184765,535.907
G,12.0,3,2728.0,541.9983359184806,523.7
H,8.0,3,2688.0,535.264969029594,551.947
