Label,well_id,Length
27.tif:B4,B4,507.139
27.tif:B6,B6,445.042
27.tif:B7,B7,520.169
27.tif:B1,B1,501.487
27.tif:B2,B2,494.453
25.tif:A8_L,A8_L,502.957
25.tif:A8_R,A8_R,507.156
25.tif:A9,A9,503.935
25.tif:A10,A10,487.551
24.tif:A1,A1,502.434
24.tif:A2_L,A2_L,510.029
24.tif:A2_R,A2_R,518.42
24.tif:A3,A3,521.243
24.tif:A4,A4,492.626
24.tif:A5,A5,489.12
26.tif:A11,A11,529.017
26.tif:A12,A12,506.208
33.tif:D4,D4,501.571
33.tif:D5,D5,516.908
33.tif:D6,D6,509.36
33.tif:D7,D7,502.823
31.tif:C10_L,C10_L,492.232
31.tif:C10_R,C10_R,446.757
31.tif:C12,C12,526.647
28.tif:B8,B8,508.257
28.tif:B9,B9,500.774
28.tif:B11,B11,497.372
28.tif:B12,B12,536.139
35.tif:D11,D11,501.486
35.tif:D12,D12,490.83
30.tif:C7,C7,489.698
30.tif:C8_R,C8_R,518.507
30.tif:C9,C9,462.175
30.tif:C8_L,C8_L,529.284
29.tif:C1,C1,498.169
29.tif:C2,C2,536.303
29.tif:C3,C3,458.744
29.tif:C4,C4,511.009
29.tif:C6,C6,507.942
32.tif:D1,D1,519.586
32.tif:D2,D2,501.937
32.tif:D3,D3,491.977
32.tif:D4,D4,506.955
36.tif:E1,E1,529.255
36.tif:E2,E2,510.715
34.tif:D8,D8,492.403
34.tif:D9,D9,508.944
34.tif:D10,D10,521.552
34.tif:D11,D11,501.715
