Label,well_id,Length
2.tif:A2,A2,510.234
2.tif:A3,A3,528.184
21.tif:D7,D7,507.756
21.tif:D8,D8,497.085
23.tif:E1,E1,518.592
23.tif:E2,E2,529.749
4.tif:A7,A7,517.515
4.tif:A8,A8,519.303
6.tif:A10,A10,486.963
6.tif:A11,A11,529.884
18.tif:C10,C10,441.206
18.tif:C11,C11,513.144
18.tif:C12,C12,532.223
18.tif:D1,D1,521.071
1.tif:A1_1,A1_1,497.748
1.tif:A1_2,A1_2,523.639
1.tif:A2,A2,517.377
22.tif:D9,D9,514.643
22.tif:D10,D10,508.397
22.tif:D11,D11,498.47
22.tif:D12,D12,487.479
20.tif:D5,D5,509.066
20.tif:D6,D6,526.792
3.tif:A4,A4,500.001
3.tif:A5,A5,494.359
3.tif:A6,A6,514.877
19.tif:D2,D2,499.765
19.tif:D3,D3,494.906
19.tif:D4,D4,509.821
7.tif:A12,A12,503.5
7.tif:B1,B1,494.253
5.tif:A9,A9,503.797
17.tif:C7,C7,529.472
17.tif:C8,C8,537.783
17.tif:C9,C9,463.764
17.tif:C10,C10,446.722
9.tif:B4,B4,511.475
15.tif:C2,C2,533.445
15.tif:C3,C3,467.5
11.tif:B7,B7,520.621
13.tif:B10,B10,531.255
13.tif:B11,B11,494.912
14.tif:B12,B12,531.13
14.tif:C1,C1,498.875
8.tif:B2,B2,505.742
8.tif:B3,B3,518.784
16.tif:C4,C4,502.391
16.tif:C5,C5,492.023
16.tif:C6,C6,500.503
12.tif:B8,B8,512.324
12.tif:B9,B9,514.585
10.tif:B5,B5,494.753
10.tif:B6,B6,436.031
